# mean, investigation_time=50.0, checksum=263994461
lon,lat,PGA-0.1,PGA-0.02,SA(0.075)-0.1,SA(0.075)-0.02,SA(0.1)-0.1,SA(0.1)-0.02,SA(0.2)-0.1,SA(0.2)-0.02,SA(0.3)-0.1,SA(0.3)-0.02,SA(0.4)-0.1,SA(0.4)-0.02,SA(0.5)-0.1,SA(0.5)-0.02,SA(0.75)-0.1,SA(0.75)-0.02,SA(1.0)-0.1,SA(1.0)-0.02,SA(1.5)-0.1,SA(1.5)-0.02,SA(2.0)-0.1,SA(2.0)-0.02,SA(2.5)-0.1,SA(2.5)-0.02,SA(3.0)-0.1,SA(3.0)-0.02
172.02248,-43.90243,3.948266E-01,7.458552E-01,6.697856E-01,1.266403E+00,7.935343E-01,1.495981E+00,9.713772E-01,1.815884E+00,8.814396E-01,1.647400E+00,7.991078E-01,1.483112E+00,7.407342E-01,1.357726E+00,6.085930E-01,1.087132E+00,4.992274E-01,8.880728E-01,3.456842E-01,6.026232E-01,2.542950E-01,4.363620E-01,1.959295E-01,3.383200E-01,1.596329E-01,2.790145E-01
172.03493,-43.90253,3.973733E-01,7.506250E-01,6.742961E-01,1.274279E+00,7.988981E-01,1.505226E+00,9.768827E-01,1.826851E+00,8.856096E-01,1.657554E+00,8.022535E-01,1.492069E+00,7.432746E-01,1.365493E+00,6.099986E-01,1.092505E+00,5.001500E-01,8.918079E-01,3.458291E-01,6.037813E-01,2.542745E-01,4.368634E-01,1.958476E-01,3.384794E-01,1.595375E-01,2.790188E-01
172.04738,-43.90264,3.998779E-01,7.549807E-01,6.786959E-01,1.281496E+00,8.039377E-01,1.513719E+00,9.822900E-01,1.837055E+00,8.897327E-01,1.667095E+00,8.052981E-01,1.500526E+00,7.456744E-01,1.372734E+00,6.107631E-01,1.096423E+00,5.003068E-01,8.940557E-01,3.455308E-01,6.041186E-01,2.539650E-01,4.368021E-01,1.955267E-01,3.382047E-01,1.592395E-01,2.786671E-01
172.05984,-43.90274,4.021685E-01,7.587609E-01,6.829702E-01,1.287804E+00,8.087794E-01,1.521182E+00,9.875814E-01,1.846204E+00,8.938084E-01,1.675766E+00,8.083122E-01,1.508274E+00,7.480571E-01,1.379445E+00,6.115678E-01,1.100113E+00,5.005150E-01,8.961903E-01,3.452700E-01,6.044275E-01,2.536828E-01,4.367182E-01,1.952286E-01,3.379139E-01,1.589608E-01,2.783056E-01
172.07229,-43.90284,4.043619E-01,7.620273E-01,6.870921E-01,1.293289E+00,8.134388E-01,1.527719E+00,9.927045E-01,1.854379E+00,8.977660E-01,1.683632E+00,8.112259E-01,1.515343E+00,7.503059E-01,1.385541E+00,6.119976E-01,1.103040E+00,5.003358E-01,8.974173E-01,3.447716E-01,6.042495E-01,2.532469E-01,4.362992E-01,1.948049E-01,3.373663E-01,1.585762E-01,2.777351E-01
172.08474,-43.90294,4.065213E-01,7.650950E-01,6.911638E-01,1.298464E+00,8.180249E-01,1.533909E+00,9.977816E-01,1.862195E+00,9.016588E-01,1.691206E+00,8.141284E-01,1.522170E+00,7.525368E-01,1.391438E+00,6.123801E-01,1.105812E+00,5.001209E-01,8.985175E-01,3.442536E-01,6.040215E-01,2.527997E-01,4.358513E-01,1.943721E-01,3.367965E-01,1.581838E-01,2.771469E-01
172.09719,-43.90304,4.087247E-01,7.684776E-01,6.953241E-01,1.304141E+00,8.227013E-01,1.540667E+00,1.002848E+00,1.870556E+00,9.055744E-01,1.699224E+00,8.171027E-01,1.529302E+00,7.548094E-01,1.397568E+00,6.127294E-01,1.108615E+00,4.998574E-01,8.996089E-01,3.437061E-01,6.037865E-01,2.523310E-01,4.354055E-01,1.939202E-01,3.362255E-01,1.577746E-01,2.765564E-01
172.10964,-43.90314,4.110597E-01,7.727782E-01,6.997357E-01,1.311213E+00,8.276532E-01,1.549016E+00,1.008128E+00,1.880652E+00,9.097591E-01,1.708857E+00,8.203429E-01,1.537889E+00,7.574225E-01,1.405149E+00,6.138614E-01,1.113534E+00,5.003899E-01,9.026437E-01,3.436377E-01,6.046139E-01,2.521718E-01,4.356633E-01,1.937214E-01,3.361853E-01,1.575786E-01,2.763951E-01
172.12209,-43.90323,4.134876E-01,7.777207E-01,7.040506E-01,1.319283E+00,8.327976E-01,1.558492E+00,1.013623E+00,1.891927E+00,9.141239E-01,1.719551E+00,8.237492E-01,1.547366E+00,7.602002E-01,1.413509E+00,6.152035E-01,1.119223E+00,5.010985E-01,9.063078E-01,3.436787E-01,6.057749E-01,2.520809E-01,4.361413E-01,1.935764E-01,3.363075E-01,1.574269E-01,2.763605E-01
172.13454,-43.90333,4.158549E-01,7.825209E-01,7.082483E-01,1.327133E+00,8.378171E-01,1.567718E+00,1.018988E+00,1.902886E+00,9.183714E-01,1.729958E+00,8.270292E-01,1.556462E+00,7.627436E-01,1.421281E+00,6.157877E-01,1.123350E+00,5.010406E-01,9.084131E-01,3.432476E-01,6.060763E-01,2.516823E-01,4.360515E-01,1.931780E-01,3.359954E-01,1.570614E-01,2.759722E-01
